,Fighter,Report,Card,Card Date,Opponent,Resolution,Next Apparence,Notes
36,Brian Kelleher,1/1/2021,UFC Fight Island 7,1/16/2021,Ricky Simon,FIght scratched - not rebooked,NA,
37,Khamzat Chimaev,12/29/2020,UFC Fight Island ,1/20/2021,Leon Edwards,FIght scratched - not rebooked,NA,
38,Jordan Espinosa,12/22/2020,UFC Fight Island,1/16/2021,Tim Elliott,"Fight scratched - rescheduled for March 6, 2021","Possible March 6, 20201",
39,Karl Roberson,12/17/2020,UFC Vegas 17,12/19/2020,Dalcha Lungiambula,Fight scratched - not rebooked ,NA,Second scratch was originally pulled from UFC 256
40,Aiemann Zahabi,12/17/2020,UFC Vegas 17,12/19/2020,Drako Rodriguez,Fight scratched - not rebooked ,NA,
41,Rick Glenn,12/16/2020,UFC Vegas 17,12/19/2020,Carlton Minus,Minus faces Christos Giagos at UFC Vegas 17,NA,
42,Belal Muhammad,12/15/2020,UFC Vegas 17,12/19/2020,Dhiego Lima,Fight scratched - possible for January,January possible,
43,Muslim Salikhov,12/15/2020,,1/16/2021,Santiago Ponzinibbio,Fight scratched - not rebooked ,NA,
44,Jared Vanderaa,12/10/2020,UFC 256,12/12/2020,Sergey Spivak,Fight scratched - not rebooked,NA,
45,Dwight Grant,12/8/2020,UFC 256,12/12/2020,Li Jingliang,Fight scratched - not rebooked,NA,
46,Karl Roberson,12/7/2020,UFC 256,12/12/2020,Dalcha Lungiambula,"Fight scratched rebooked for UFC Vegas 17 - December 12, 2020",scratched from UFC Vegas 17 - COVID ,
47,Angela Hill,12/7/2020,UFC 256,12/12/2020,Tecia Torres,Fight scratched - Torres faced replacement opponent Sam Hughes. Torres won via first round TKO (5:00),NA,
48,Movsar Evloev,12/5/2020,UFC Vegas 16,12/5/2020,Nate Landwehr,Fight scratched - not rebooked ,NA,
49,Alexandre Pantoja,12/4/2020,UFC Vegas 17,12/19/2020,Manel Kape,Fight scratched ,Possible for early 2021,
50,Leon Edwards,12/1/2020,UFC Vegas 17,12/19/2020,Khamzat Chimaev,Fight scratched - not rebooked,NA,
51,Kevin Holland,11/28/2020,UFC Vegas 16,12/5/2020,Jack Hermansson,Fight scratched - Hermansson fought Marvin Vettori - Vettori won decision - Holland scheduled for UFC 256 on December 12,UFC 256,Defeated Ronaldo Souza via first round KO
52,Curtis Blaydes,11/27/2020,UFC Vegas 15,11/28/2020,Derrick Lewis,Fight scratched - not rebooked,NA,ESPN reported possible December rebooking
53,Renato Moicano,11/22/2020,UFC Vegas 15,11/28/2020,Rafael Fiziev,"Fight scratched - rebooked for UFC 256 on December 12, 2020 ",UFC 256,Fiziev defeated Moicano via first round KO
54,Felipe Colares,11/1/2020,UFC Vegas 13,11/7/2020,Gustavo Lopez,Fight scratched - Lopez fought Anthony Birchak - Lopez won first round submission,NA,
55,Makhmud Muradov,10/29/2020,UFC Vegas 12,10/31/2020,Kevin Holland,Fight scratched - Holland faced Charles Ontiveros - Holland won via first-round TKO,UFC 257 possible,"Booked to face Andrew Sanchez at UFC 257 on January 23, 2020"
56,Gabriel Benitez,10/27/2020,UFC Vegas 14,11/14/2020,Justin Jaynes,Fight scratched - rebooked for UFC Vegas 16 on December 5. ,UFC Vegas 16,Benitez defeated Jaynes via first round TKO
57,Cynthia Calvillo,10/15/2020,UFC 254,10/24/2020,Lauren Murphy,Fight scratched - Murphy faced replacement Lilya Shakirova - Murphy won via second round submission - ,UFC 255,Calvillo lost to Katlyn Chookagian via decision at UFC 255 on November 21.
58,Rafael dos Anjos,10/8/2020,UFC 254,10/24/2020,Islam Makhachev,"Fight scratched - moved to UFC Vegas 14 on November 14, 2020",UFC Vegas 14,"Makhachev out of UFC Vegas 14 due to staph infection, Dos Anjos fought Paul Felder. Dos Anjos won via split decision."
59,Mounir Lazzez,10/7/2020,UFC Fight Island 6,10/17/2020,David Zawada,Fight scratched,NA,
60,Alejandro Perez,10/3/2020,UFC Fight Island 5,10/10/2020,Thomas Almeida,Fight scratched,NA,
61,Wellington Turman,10/1/2020,UFC Vegas 12,10/31/2020,Sean Strickland,Fight scratched - Strickland faced Jack Marshman - Strickland won via decision ,NA,"Scheduled to face Aliaskhab Khizriev on February 6, 2021"
62,Nate Landwehr,9/17/2020,UFC 253,9/26/2020,Shane Young,Fight scratched - Young faced L'udovit Klein - Klein won via first round KO,NA,Was booked to face Movsar Evloev in December but fight scratched after Evloev tested positive for COVID-19
63,Thiago Santos,9/15/2020,UFC Fight Island 4,10/4/2020,Glover Teixeira ,"Fight scratched - moved to UFC Vegas 13 on November 7, 2020",UFC Vegas 13,Teixeira defeated Santos via third-round submission
64,Frank Camacho,9/10/2020,UFC Vegas 10,9/12/2020,Brok Weaver,Fight scratched - Weaver faced Jalin Turner - Turner won via second round submission ,NA,
65,Kevin Natividad,9/5/2020,UFC Vegas 9,9/5/2020,Brian Kelleher,Fight scratched - Kelleher faced Ray Rodriguez - Kelleher won via first round submission,UFC Vegas 12,Natividad lost to Miles Johns via third round knockout
66,Marco Rogerio de Lima,9/5/2020,UFC Vegas 9,9/5/2020,Alexander Romanov,"Fight scratched - rebooked for UFC Vegas 13 on November 7, 2020",UFC Vegas 13,De Lima lost to Romanov via first round technical submission 
67,Thiago Moises,9/5/2020,UFC Vegas 9,9/5/2020,Jalin Turner,"Fight scratched - Moises booked against Bobby Green for UFC Vegas 12 on October 31, 2020",UFC Vegas 12,Moises defeated Green via unanimous decision 
68,Cody Garbrandt,9/4/2020,UFC 255,11/21/2020,Deiveson Figueiredo,Fight scratched - Figueiredo fought Alex Perez - Figueiredo won via first-round submission,NA,Garbrandt said he is suffering blood clots and brain fog from COVID-19
69,Glover Teixeira,9/4/2020,UFC Vegas 10,9/12/2020,Thiago Santos,"Fight scratched - moved to UFC Fight Island 4 on October 4, 2020",UFC Vegas 13,Fight was scratched a second time after Santos tested positive for COVID-19 - Fight took place at UFC Vegas 13
70,Ion Cutelaba,8/29/2020,UFC Vegas 8,8/29/2020,Magomed Ankalaev,"Fight scratched - rebooked for UFC 254 on October 24, 2020 - Ankalaev won via first-round KO",UFC 254,"Was second cancellation - Cutelaba tested positive for first matchup on August 11, 2020"
71,Nicco Montano,8/29/2020,UFC Fight Island 4,10/4/2020,Juli Avila,Fight scratched - Mantano later withdrew from rematch due to COVID-19 travel restrictions,"Possible February 6, 2021","Booked to face Karol Rosa on February 6, 2021."
72,Giga Chikadze,8/26/2020,UFC Vegas 8,8/29/2020,Alex Caceres,Fight scratched - Caceres faced Austin Springer - Caceres won via first-round submission ,UFC Fight Island 5,Chikadze faced Omar Morales at UFC Fight Island 5 - Chikadze won the fight via decision
73,Ovince Saint Preux,8/22/2020,UFC Vegas 7,8/22/2020,Alonzo Menifield,"Fight scratched - rebooked for UFC Vegas 9 on September 5, 2020 - Saint Preux won via second-round knockout ",UFC Vegas 9,Saint Preux defeated Menifield via second-round KO
74,Mark Striegl,8/20/2020,UFC Vegas 7,8/22/2020,Timur Valiev,Fight scratched - Valiev faced Trevin Jones - TKO win for Jones overturned to NC after positive marijuana test ,UFC Fight Island 6,"Striegl lost to Said Nurmagomedov via first-round KO on UFC Fight Island 6 card - October 18, 2020"
75,Ion Cutelaba,8/11/2020,UFC 252,8/15/2020,Magomed Ankalaev,"Fight scratched - rescheduled for UFC Vegas 8 on August 29, 2020",UFC 254,Tested positive a second time - fought Ankalaev on October 24 at UFC 254 -  Ankalaev won via first-round KO
76,Gerald Meerschaert,8/1/2020,UFC Vegas 5,8/1/2020,Ed Herman ,Fight scratched - Meerschaert faced Khamzat Chimaev at UFC Vegas 11 - Chimaev won via first-round KO,UFC Vegas 11,"Meerschaert faced Khamzat Chimaev at UFC Vegas 11 - Chimaev won via first-round KO- September 19, 2020"
77,Viviane Araujo,7/20/2020,UFC Vegas 5,8/1/2020,Jennifer Maia,Fight scratched - Maia faced Joanne Calderwood - Maia won via first-round submission,UFC Vegas 9,"Araujo defeated Montana De La Rosa via decision at UFC Vegas 9 on September 5, 2020"
78,Irene Aldana,7/22/2020,UFC Vegas 5,8/1/2020,Holly Holm,"Fight scratched - rescheduled for UFC Fight Island 4 on October 4, 2020 - Holm won via decision ",UFC Fight Island 4,"Holm defeated Aldana via decision at UFC Fight Island 4 on October 4, 2020"
79,Anderson dos Santos,7/3/2020,UFC Fight Island 1,7/16/2020,Jack Shore,Fight scratched - Shore faced Aaron Phillips - Shore won via second-round submission,UFC Vegas 15,"Dos Santos faced Martin Day at UFC Vegas 15 on November 28, 2020 - Dos Santos won via first-round submission"
80,Vinicius Moreira,7/3/2020,UFC Fight Island 1,7/16/2020,Modestas Bukauskas,Fight scratched - Bukauskas faced Andreas Michailidis - Bukauskas won via first-round TKO,"Possible January 30, 2021","Moreira is scheduled to face Isaac Villanueva on January 30, 2021"
81,Pedro Munhoz,7/6/2020,UFC Fight Island 1,7/16/2020,Frankie Edgar,Fight scratched - rebooked for UFC Vegas 7 - Edgar won via split decision ,UFC Vegas 7 ,"Edgar defeated Munhoz via split decision at UFC Vegas 7 0n August 22, 2020"
82,Alexander Romanov,7/9/2020,UFC 251,7/11/2020,Marcin Tybura,Fight scratched - Tybura faced Maxim Grishin - Tybura won via decision,UFC Vegas 13,"Romanov faced Marcos Rogerio de Lima at UFC Vegas 13 on November 7, 2020 - Romanov won via technical submission in first round"
83,Gilbert Burns,7/3/2020,UFC 251,7/11/2020,Kamaru Usman,Fight scratched - Usman faced Jorge Masvidal - Usman won via decision ,Booked UFC 258 ,"Usman defeated Burns by KO at UFC 258 on February 13, 2021"
84,Ronaldo Souza,5/8/2020,UFC 249,5/9/2020,Uriah Hall,Fight scratched- not rescheduled,UFC 256,"Souza lost to Kevin Holland at UFC 256 on December 12, 2020 via first-round knockout"
85,Lyman Good,4/4/2020,UFC 249,5/9/2020,Belal Muhammad,"Fight scratched - rescheduled for UFC Vegas 3 on June 20, 2020- Muhammad won via decision",UFC Vegas 3,Muhammad defeated Good via decision 
